#{"t_start": 1575120695.6702447, "env_id": "Taxi-v3"}
r,l,t
3,9,196.510044
6,15,196.579062
7,14,196.625935
6,15,196.679332
12,9,196.710578
10,11,196.748338
7,14,196.795217
4,17,196.86423
8,13,196.911102
7,14,196.964492
-209,200,197.666344
11,10,197.713217
3,18,197.766609
8,13,197.829105
9,12,197.866876
3,18,197.927507
-7,19,197.998023
9,12,198.044891
5,16,198.098281
12,9,198.129532
5,16,198.182915
-3,15,198.229788
12,9,198.267554
-3,15,198.330051
7,14,198.383437
5,16,198.430308
7,14,198.483699
9,12,198.530572
7,14,198.58396
5,16,198.630832
5,16,198.699843
9,12,198.731094
2,19,198.815727
3,18,198.884743
7,14,198.947239
6,15,199.000627
6,15,199.054012
-5,17,199.116515
10,11,199.154277
-5,17,199.216789
3,18,199.285804
9,12,199.332678
9,12,199.370437
12,9,199.417311
7,14,199.470701
6,15,199.533196
7,14,199.570967
8,13,199.617832
6,15,199.671223
3,18,199.749346
0,12,199.787109
-5,17,199.849605
6,15,199.902994
8,13,199.949865
6,15,200.034502
13,8,200.072303
5,16,200.156941
7,14,200.23507
10,11,200.288467
10,11,200.357473
7,14,200.41998
8,13,200.473371
8,13,200.535866
5,16,200.620502
4,17,200.689513
3,18,200.774155
-3,15,200.836649
13,8,200.874422
5,16,200.952539
-1,13,201.00593
13,8,201.037176
11,10,201.090574
3,18,201.175215
9,12,201.222084
-1,13,201.291099
7,14,201.353593
4,17,201.422616
-6,18,201.507261
7,14,201.560641
7,14,201.623147
6,15,201.692155
2,19,201.776797
8,13,201.83929
9,12,201.890058
7,14,201.936939
4,17,202.00027
-2,14,202.061668
9,12,202.108548
7,14,202.161929
6,15,202.240056
10,11,202.277821
10,11,202.324693
11,10,202.362454
6,15,202.440582
9,12,202.478352
8,13,202.540847
-2,14,202.594238
9,12,202.625486
8,13,202.67888
8,13,202.725748
-2,14,202.779138
4,17,202.841635
6,15,202.89502
6,15,202.941892
6,15,202.995286
9,12,203.042156
9,12,203.079918
12,9,203.111165
7,14,203.164544
7,14,203.211428
4,17,203.280435
4,17,203.34293
5,16,203.396318
5,16,203.465321
11,10,203.496576
8,13,203.543447
8,13,203.596839
7,14,203.643708
-5,17,203.712727
12,9,203.74397
2,19,203.812987
11,10,203.844233
5,16,203.897627
6,15,203.960121
-3,15,204.013512
3,18,204.066895
4,17,204.129398
12,9,204.167157
11,10,204.198413
6,15,204.260909
6,15,204.314294
11,10,204.361167
5,16,204.414554
10,11,204.46143
8,13,204.499193
-6,18,204.568194
6,15,204.615077
-8,11,204.668456
10,11,204.699713
5,16,204.746587
7,14,204.799973
6,15,204.862473
6,15,204.915866
6,15,204.969247
3,18,205.031749
5,16,205.085142
6,15,205.147637
7,14,205.185404
8,13,205.232274
9,12,205.285672
3,18,205.348168
-5,17,205.401557
0,12,205.448431
11,10,205.48619
-2,14,205.533067
-9,21,205.617698
7,14,205.686737
-5,17,205.733594
6,15,205.802607
6,15,205.849476
10,11,205.887237
12,9,205.918486
7,14,205.971865
9,12,206.018746
8,13,206.065618
12,9,206.103381
7,14,206.150253
